slang,baku
nyanyiin,menyanyikan
ahh,ah
pgen,pengin
tempt,tempat
kh,kah
bgini,begini
brani,berani
km,kamu
jalan2,jalan-jalan
asyikk,asyik
irii,iri
ngajak,mengajak
naahh,nah
kka,kakak
yak,ya
ttep,tetap
sperti,seperti
jrang,jarang
msuk,masuk
gossip2.an,gosip-gosipan
makk,mak
guee,gue
pengenn,pengin
gilzz,gila
nyaru,menyaru
jd,jadi
kebarat2an,kebarat-baratan
ohh,oh
mantabs,mantab
jgan,jangan
mlu,malu
payahh,payah
ntaf,mantap
beneran,benaran
"mudah""n,mudah-mudahan"
gada,enggak ada
milikin,memiliki
kamo,kamu
inih,ini
sukaa,suka
kirain,mengira
mehoongg,mahal
apikk,apik
yach,ya
ginii,begini
ayook,ayo
yoii,yoi
gituu,begitu
iyaa,iya
pgn,pengin
liptsk,lipstik
nyeplak,menjiplak
cw,cewek
kmarin,kemarin
mengncang,mengencang
tauu,tau
ksh,kasih
skrng,sekarang
mksh,terima kasih
ank,anak
skitar,sekitar
ktmu,ketemu
tmen,teman
ats,atas
donk,dong
heii,hai
diputusin,diputuskan
pcrnya,pacarnya
mnjual,menjual
ngadain,mengadakan
kkak,kakak
rekomendasiin,merekomendasikan
sihh,sih
coocok,cocok
mrip,mirip
mama.nyy,mamanya
bosenin,membosankan
kmu,kamu
bukn,bukan
sey,sih
cantikk,cantik
banger,banget
eakyu,waktu
cntik,cantik
kakanya,kakaknya
doeloe,dulu
bngtt,banget
iyak,iya
malh,malah
mlah,malah
ngak,enggak
laki2,laki-laki
gag,enggak
fhotonya,fotonya
bleh,boleh
brp,berapa
tnggl,tanggal
tanteny,tantenya
ky,kaya
sklinyaa,sekalinya
ayoo,ayo
w,gue
dramaa,drama
niih,nih
bisaa,bisa
lha,lah
dunk,dong
lihaat,lihat
yuwkk,yuk
nnti,nanti
editann,editan
mw,mau
thu,tuh
mai,mau
kamuu,kamu
pastii,pasti
kejuu,keju
nama.a,namanya
kmauan,kemauan
dmana,dimana
disinii,disini
cobaa,coba
bayangin,bayangkan
yaudh,ya sudah
dl,dulu
ajaa,saja
amplopp,amplop
mo,mau
sayangg'',sayang-sayang
gakuat,enggak kuat
yukk,yuk
nged,banget
nantik,nanti
ksitu,kesitu
liad,lihat
kluarga,keluarga
biasahh,biasa
tutorialx,tutorialnya
dpke,dipakai
fhoto,foto
kerenn,keren
binggo,banget
rekomndd,rekomendasi
bli2n,beli-belikan
bwt,buat
wado,waduh
guaa,gua
yaakk,ya
bangettyt,banget
bangg,bang
kangeenn,kangen
kaliann,kalian
kangennmnn,kangen
kaliannm,kalian
th2,tahun-tahun
smpt,sempat
blg,bilang
trserah,terserah
ad,ada
cwo,cowok
prnah,pernah
wlwpun,walaupun
trpsah,terpisah
klw,kalau
mmg,memang
prsatukn,persatukan
g,enggak
slh,salah
ngomng,mengomong
mdh2an,mudah-mudahan
sm,sama
skedar,sekadar
kangeerrn,kangenn
pulak,pula
terrbaik,terbaik
jorookknya,joroknya
ihh,ih
padahall,padahall
jorokk,jorok
muall,muall
klow,kalau
muke,muka
ajh,saja
taii,tahi
seneeng,senang
nyesel,menyesal
besarin,membesarkan
tanyang,tayang
ber2,berdua
jngan,jangan
ngelarang,melarang
kerreen,keren
pantess,pantas
bngett,banget
baperr,bawa perasaan
sudh,sudah
sbr,sabar
pngen,pengin
nntn,menonton
ht,hati
pemainy,pemainnya
jg,juga
aqu,aku
ngeliat,melihat
baper,bawa perasaan
akn,akan
nyampe,sampai
kbawa,terbawa
bradegan,beradegan
mlm,malam
nikahin,menikahi
hadeuh,aduh
nyambung,menyambung
liyat,lihat
krn,karena
sk,suka
adengan,adegan
engga,enggak
bingit,banget
dapetin,mendapati
model2,model-model
sitayngin,ditayangkan
mahh,mah
cocokny,cocoknya
iniw,ini
q,ku
setju,setuju
bnern,benaran
pcrn,pacaran
klian,kalian
abes,habis
br,baru
mksdny,maksudnya
brpa,berapa
kesampean,kesampaian
beginii,begini
ntr,entar
