slang,baku
kontak2,kontak-kontak
dptnya,dapatnya
applikasi,aplikasi
bngeet,banget
gemesinn,menggemaskan
ongkiir,ongkir
saayy,say
ganteung,ganteng
bhgia,bahagia
lucuukk,lucu
keciil,kecil
yakinn,yakin
pentass,pentas
ngarep,mengharap
lucu2,lucu-lucu
testinya,testimoninya
mengirusi,mengurusi
khdpn,kehidupan
ngelawan,melawan
betuull,betul
bisax,bisanya
klmbutan,kelembutan
seburuk2,seburuk-buruk
diingetin,diingatkan
nich,nih
akhlah,akhlak
elo2,lo-lo
mandiin,memandikan
nguburin,menguburkan
ngebedain,membedakan
urusanny,urusannya
tuhanny,tuhannya
brtngkar,bertengkar
pndapat,pendapat
sharusnya,seharusnya
mngkannya,mangkanya
nyia2in,menyia-nyiakan
brarti,berarti
mndpat,mendapat
kpuasan,kepuasan
sgampang,segampang
mlepaskan,melepaskan
trll,terlalu
sndr,sendiri
sellow,selow
sbbrnya,sebenarnya
kasar2,kasar-kasar
semangatt,semangat
testi,testimoni
bujukk,bujuk
d.apa,diapa
apain,apai
dsar,dasar
benetaran,benaran
bneran,benaran
si,sih
kraya,karya
brg,bareng
ngebantu,membantu
janjutin,lanjutkan
keppoin,kepoi
recommendasi,rekomendasi
btulan,betulan
kha,kah
s,si
tutupin,menutupi
wik,wig
ithu,itu
botakin,botaki
botakk,botak
bnrn,benaran
week,wig
gawul,gaul
modes,modis
brayy,bray
kcantikan,kecantikan
bronis,brondong manis
gapunya,enggak punya
bkln,bakalan
kecantikanga,kecantikannya
hii,hai
piilih,pilih
deeh,deh
zama,zaman
gnti,ganti
nmnya,namanya
tapo,tapi
gkk,enggak
petinggi2,petinggi-petinggi
wota2,wota-wota
indefendet,independen
tempat2,tempat-tempat
taik,tahi
dituutup,ditutup
ngayal,mengkhayal
smvk,sempak
knyataan,kenyataan
njritt,anjir
selmt,selamat
taz,atas
klhran,kelahiran
pertma,pertama
kelahuran,kelahiran
pertamany,pertamanya
mamax,mamanya
ankx,anaknya
cantip,cantik
klahiran,kelahiran
slmat,selamat
mmbanggakan,membanggakan
ortuny,orang tuanya
selmat,selamat
bnda,bunda
nyah,nya
prtamax,pertamanya
moqa,moga
yq,yang
brbakti,berbakti
gewlaa,gila
basodaraa,bersaudara
hargs,harga
perhatiin,perhatikan
abal2,abal-abal
bantuim,bantu
adl,adalah
pelwak,pelawak
suces,sukses
sucses,sukses
garemin,garami
gapake,enggak pakai
ngiringan,mengiringi
karir.a,karirnya
teruz,terus
kemarn,kemarin
recomendasinya,rekomendasinya
promoo,promo
ongkirr,ongkir
mskasih,terima kasih
seemua,semua
batesin,batasi
bijin,bikin
ngeidealin,mengidealkan
bhn,bahan
gasalah,enggak salah
brsma,bersama
le,boleh
ugha,juga
semuaa,semua
hee,hai
rame2,rame-rame
yam,ya
kartunin,kartun
kyaknya,kayaknya
abez,habis
ganteeng,ganteng
entahh,entah
gimanaa,bagaimana
gantengnyaa,gantengnya
kpn2,kapan-kapan
pans,fan
kuliyh,kuliah
gantengkuu,gantengku
atass,atas
orgny,orangnya
owalaah,walah
aslinyo,aslinya
alissnyaa,alisnya
masaa,masa
komuk,muka
kalahnye,kalahnya
fakultass,fakultas
smrg,semarang
unyu2,unyu-unyu
koq,kok
yyaa,ya
insonniaa,insomnia
adekx,adeknya
azaab,azab
gksi,enggak sih
greged,greget
ktemu,ketemu
ditayangin,ditayangkan
"ms"",masa-masa"
meranin,memerankan
nontonny,menontonnya
sista2,sista-sista
agan2,agan-agan
ngg,enggak
nanget,banget
ngeditnya,mengeditnya
himana,bagaimana
kekgini,kayak begini
subhanaallahh,subhanallah
sangat2,sangat-sangat
"kata"",kata-kata"
subhanallahh,subhanallah
tlsn,tulisan
nagiss,menangis
aneut,banget
trrharu,terharu
subhnallah,subhanallah
dcintai,dicintai
klrga,keluarga
liat'y,lihatnya
lggeng,langgeng
romantisny,romatisnya
pcar,pacar
kakanga,kakaknya
slw,selow
cpa,siapa
aelah,alah
orabg,orang
mukanyaa,mukanya
kakakny,kakaknya
wooyy,woy
ngelucu,melucu
bukak,buka
mato,mata
kareno,karena
cino,cina
munafikk,munafik
meker,mikir
indoneaia,indonesia
benarin,membenarkan
jaadii,jadi
apo,apa
nyo,nya
miara,memiara
jalanani,menjalani
dalil2,dalil-dalil
sunah2,sunah-sunah
sdah,sudah
benda2,benda-benda
bilang2,bilang-bilang
emangnya,memangnya
rumpiin,rumpi
hotak,botak
ikut2,ikut-ikut
jawabanny,jawabannya
ajj,saja
mikir2,memikir-mikir
melihara,memelihara
hidupx,hidupnya
ngefans,fan
lsg,langsung
uztad,ustad
anjingnyaa,anjingnya
pegang2,pegang-pegang
ilmh,ilmu
menasehati,menasihati
suka2,suka-suka
kelus,kali
hubngan,hubungan
koclak,kocak
bju,baju
cinggirnyaa,cinggirnya
sedikitlaahh,sedikitlah
miriplahh,miriplah
syediih,sedih
mirp,mirip
baju.a,bajunya
gantheng,ganteng
synk,sayang
ngfans,fan
miriipp,mirip
idungnya,hidungnya
panglingg,pangling
artisnyaa,artisnya
dtggu,ditunggu
trnyata,ternyata
rapih,rapi
buun,bun
iyaapps,iya
sukse,sukses
nih2,nih-nih
baruu,baru
kecptan,kecepatan
rmbutnya,rambutnya
giti,begitu
penganten,pengantin
wrn,warna
ne,ini
fans,fan
loksyut,lokasi syuting
amfun,ampun
k',kak
asuu,asu
kuu,ku
dsini,disini
dibls,dibalas
ceklist,ceklis
tlvn,telepon
trkrim,terkirim
kelaluan,kelakuan
guanteng,ganteng
cucok,cocok
c,sih
haduh,aduh
mlz,malas
emak2,emak-emak
tante2,tante-tante
kepoh,kepo
jalanin,menjalani
repong,repot
ngrusin,mengurusi
iy,iya
dnk,dong
senyumna,senyumnya
ngejelek2in,menjelek-jelekkan
hotx,hotnya
cwnya,ceweknya
mbaahh,mbah
pasangn,pasangan
sttus,status
aama,sama
hadeuuhh,aduh
lebar2,lebar-lebar
sstu,sesuatu
serasii,serasi
cocokx,cocoknya
emakx,emaknya
cocookk,cocok
kll,kalo
arghh,ah
ungkapin,ungkapkan
merrid,merit
neh,nih
yaolohh,ya allah
aee,saja
naggung,menanggung
batt,banget
am,sama
tah,teh
luthuna,lucunya
suaraynyaa,suaranya
duanyaa,duanya
anjayy,anjay
coegg,coeg
ancur,hancur
koplak,kocak
uaassiik,asik
boss,bos
nyubit,mencubit
dede,adek
gemez,gemas
tium,cium
gemeezz,gemas
ppa,papa
papahhnya,papahnya
ginting,ganteng
dedeknya,adeknya
hadeeuh,aduh
genee,begini
yoow,ya
gemezz,gemas
gayax,gayanya
infpyunn,ampun
papii,papi
kamunyaa,kamunya
ngambek,mengambek
haduuh,aduh
kapaan,kapan
nginjek,menginjak
putihnyaa,putihnya
omaakk,oma
didatengin,didatangi
abg,abang
kmariin,kemarin
ayoklaa,ayolah
jelass,jelas
kaliin,kalian
ujungg,ujung
kaakaa,kakak
srruu,seru
kann,kan
jmpaa,jumpa
syukaakk,suka
dengeeriin,dengarkan
yakalii,yakali
ngertii,mengerti
apalgi,apalagi
akuh,aku
mesrany,mesranya
jendes,janda
coccokk,cocok
msa,masa
klepek2,klepek-klepek
ponakn,ponakan
tantee,tante
gadiss,gadis
tpy,tapi
jnda,janda
bngy,banget
bujngn,bujangan
ngp,mengapa
padetan,padatan
bawa2,bawa-bawa
nyobain,mencoba
pcaran,pacaran
or,orang
tdak,tidak
prcuma,percuma
langgengg,langgeng
anehh,aneh
hayal,khayal
bedua,berdua
bapeerr,bawa perasaan
keinget,teringat
merekak,mereka
kreenn,keren
abiss,habis
kocaakk,kocak
abiiss,habis
personill,personil
lengkapp,lengkap
flim.a,filmnya
trusan.a,terusannya
tdung,tudung
gangguin,mengganggu
lgkah2,langkah-langkah
taw,tau
cntiikk,cantik
tegaar,tegar
sktlrang,sekarang
sjk,sejak
tambh,tambah
gaada,enggak ada
malsudnya,maksudnya
lluuccuu,lucu
siappa,siapa
martabakk,martabak
skali2,sekali-kali
kueren2,keren-keren
abgnya,abangnya
warkop,warung kopi
hayuu,hayo
kenapaa,kenapa
ilang2an,hilang-hilangan
inihh,ini
oom,om
mansetan,bermanset
cadass,cadas
"temen"",teman-teman"
telefisi,televisi
nikmatin,menikmati
mbahh,mbah
giitu,begitu
mtanya,matanya
cpit,sipit
dee,dek
sumvahh,sumpah
tamvann,tampan
yap,ya
capa,sapa
ngakakk,mengakak
liaat,lihat
gantweng,ganteng
anjj,anjing
gakwad,enggak kuat
seru2,seru-seru
favoritee,favorit
adaa,ada
dinyanyiin,dinyanyikan
nyengir,menyengir
temennya,temannya
klk,kelak
brjdh,berjodoh
akhrt,akhirat
kanggen,kangen
ysh,ya
sypa,siapa
brjodoh,berjodoh
barengg,bareng
kpnpun,kapanpun
mendj,menjadi
merindingg,merinding
lhir,lahir
udeh,sudah
menjdi,menjadi
debay,adek bayi
bangeer,banget
lafazd,lafaz
pmbyran,pembayaran
plsa,pulsa
"dimana"",dimana-mana"
sokk,sok
ngambekan,ambekan
sma2,sama-sama
ngom,mengomong
tolooll,tolol
bodhoo,bodoh
peliharaa,pelihara
makanyaa,makanya
"ati"",hati-hati"
kemakan,termakan
andaa,anda
buktinyaa,buktinya
smuaa,semua
ngambeknya,mengambeknya
kebongkar,terbongkar
tapii,tapi
kasiian,kasihan
diladenin,diladeni
comen,komen
ngtif,negatif
comntr,komentar
brdiri,berdiri
mulutny,mulutnya
msalah,masalah
trserh,terserah
waduuh,waduh
ngedukung,mendukung
dihpus,dihapus
cakeepp,cakep
benerr,benar
"brg"",bareng-bareng"
baanget,banget
ngetsz,banget
utkmu,untukmu
anj,anjing
diee,dia
hijap,hijab
ternodain,ternodai
ngeri2,ngeri-ngeri
mn,mana
kt2,kata-kata
agk,agak
slhkan,salahkan
jilbabny,jilbabnya
perilakuny,perilakunya
ketaatanny,ketaatannya
kepda,kepada
sblmny,sebelumnya
bljr,belajar
pedulilaah,pedulilah
ingetin,mengingatkan
terjrumus,terjerumus
stuju,setuju
sbb,sebab
igtlah,ingatlah
dtgkan,datangkan
benahin,membenahi
bingitt,banget
buka2an,buka-bukaan
ngembali,kembali
semngat,semangat
lekong,laki
kacauu,kacau
ngimpi,mimpi
owh,oh
ngerampas,merampas
ngehancurin,menghancurkan
ngungkit2,mengungkit-ungkit
kalee,kali
caranga,caranya
usa,usah
dipikirin,dipikirkan
nunduk,menunduk
tembemm,tembem
nyubitt,mencubit
jls2,jelas-jelas
supeer,super
inni,ini
appa,apa
hayoo,hayo
adyem,adem
mitnah,memfitnah
tmbm,tembam
cantix,cantik
kriput,keriput
jelex,jelek
drmn,darimana
"laku"",laku-laku"
"orang""nya,orang-orangnya"
kacian,kasihan
mancing2,memancing-mancing
eeh,eh
kpancing,terpancing
lakuin,melakukan
cri,cari
sbenernya,sebenarnya
mikirinn,memikirkan
"diam"",diam-diam"
mengalahkn,mengalahkan
nyindirin,menyindir
nee,ini
klakuan,kelakuan
mksdx,maksudnya
shabat,sahabat
jk,jika
brbuat,berbuat
mmberi,memberi
nm,nama
sbhabat,sahabat
pnjerumus,penjerumus
tman,teman
shbat,sahabat
melakukn,melakukan
seorg,seorang
berkluarga,berkeluarga
siapa2,siapa-siapa
ketipu,tertipu
"laki"",laki-laki"
mengait2kan,mengait-ngaitkan
nyir2,nyinyir
gosipin,menggosipkan
sendri,sendiri
bntar,bentar
nmbk,menembak
tikung2,tikung-tikung
cwok,cowok
bangedd,banget
wuastagah,astaga
jaooh,jauh
matee,mati
parsis,persis
sumpeh,sumpah
iyh,iya
kmana,kemana
cantiqs,cantik
kecik,kecil
brasa,berasa
trlihat,terlihat
mmberikan,memberikan
khidupan,kehidupan
srpti,seperti
dinamakn,dinamakan
sgtu,sebegitu
paati,pasti
kutuu,kutu
setelur2nya,setelur-telurnya
khadiran,kehadiran
kel,keluarga
srta,serta
kcil,kecil
kberkahn,keberkahan
kbahagiaan,kebahagiaan
tntram,tentram
brsama,bersama
hngga,hingga
brpndapat,berpendapat
trutama,terutama
hiraukn,hiraukan
diamkn,diamkan
hrsny,harusny
brsyukur,bersyukur
mmberikn,memberikan
rasakn,rasakan
cari2,cari-cari
kesalahanny,kesalahannya
kekuranganny,kekurangannya
seandainy,seandainya
perasaanny,perasaannya
diindonesis,diindonesia
liyatnya,lihatnya
kayahh,kaya
ala2,ala-ala
yook,yuk
elus2,elus-elus
padahl,padahal
btul,betul
kejahatn,kejahatan
slam,salam
ngelewati,melewati
kalu,kalau
ngerendahin,merendahkan
apaalahh,apalah
tnp,tanpa
menyebut2,menyebut-nyebut
mnt,minta
kiya,kita
dirimuu,dirimu
yoiiu,yoi
semuanyaa,semuanya
suka.a,sukanya
jdii,jadi
blnja,belanja
brangnya,barangnya
ada2,ada-ada
nimpuk,menimpuk
prlu,perlu
coyy,coy
jnagn,jangan
kcwa,kecewa
jaman2,jaman-jaman
sok2an,sok-sokan
dket2in,dekat-dekati
cobak,coba
britanya,beritanya
tau2,tau-tau
jamam,jaman
paraa,para
seharusny,seharusnya
dasaar,dasar
bergunaa,berguna
mulutnyaa,mulutnya
blkng,belakang
kcewa,kecewa
mnusuk,menusuk
blkang,belakang
nembak,menembak
trmanis,termanis
krng,kurang
kaciiaann,kasihan
nyela,mencela
ngejilat,menjilat
halloo,halo
deketin,dekati
tayik,tahi
haloo,halo
ustzah,ustazah
halow,halo
tahann,tahan
aduuh,aduh
nyimpen,menyimpan
ngarsipin,mengarsipkan
cman,cuman
kyy,kaya
kngn,kangen
kq,kok
nyesek,menyesak
b2,berdua
mg,moga
prh,parah
bakatt,bakat
napsuu,napsu
gmau,enggak mau
luccu,lucu
prasaan,perasaan
lahirr,lahir
sering2,sering-sering
ceemen,cemen
"sembunyi"""",sembunyi-sembunyi"
skrnh,sekarang
cerdiik,cerdik
jeniuss,jenius
kurangin,kurangi
kreen,keren
s'lalu,selalu
mintk,minta
nyolong,mencolong
pnjng,panjang
slaluu,selalu
kangg,kang
rezeqinya,rezekinya
pintr,pintar
maw,mau
kura2,kura-kura
edaann,edan
nempel,menempel
sukkaa,suka
luucuu,lucu
caantiik,cantik
putihh,putih
"terus""an,terus-terusan"
ternyataa,ternyata
poll,pol
peduliin,mempedulikan
komntr,komentar
smngat,semangat
dosax,dosanya
pahalax,pahalanya
akhirt,akhirat
tinggalkn,tinggalkan
rumh,rumah
mk,maka
trhtung,terhitung
naa,nya
ademm,adem
cerdass,cerdas
tambahh,tambah
didengerin,didengarkan
ngerespon,merespons
dulurr,dulur
brusaha,berusaha
lebh,lebih
amin2,amin-amin
positipp,positif
jauuhh,jauh
brhjb,berhijab
mdh2n,mudah-mudahan
slmnya,salamnya
jlbb,jilbab
dempga,semoga
selmnya,selamanya
tth,teteh
otot2,otot-otot
lengkeett,lengket
caannttiikk,cantik
apalagii,apalagi
cuantek,cantik
akuur,akur
iniehh,ini
sayangx,sayangnya
jodohx,jodohnya
kaliaan,kalian
haslnya,hasilnya
kencng,kencang
pmbantu,pembantu
kmbl,kembali
cuchook,cocok
kloop,klop
klihatan,kelihatan
cintax,cintanya
pnuh,penuh
ngrti,mengerti
"mudah""an,mudah-mudahan"
"segala""ny,segala-galanya"
mantanny,mantannya
jodohny,jodohnya
cantk,cantik
kaasian,kasihan
padhl,padahal
"ank"",anak-anak"
pkrin,pikirkan
anakx,anaknya
sia2kan,sia-siakan
beluumm,belum
sayanggq,sayangku
kreean,keren
berenanh,berenang
besokk,besok
annjjrr,anjir
ngeliatin,melihati
ngumbar2,mengumbar-umbar
romantiss,romantis
cocook,cocok
lgs,langsung
bangedt,banget
gde,gede
bikinn,bikin
kee,ke
lucux,lucunya
bntr,bentar
buanyaak,banyak
ntap,mantap
abgnyaah,abangnya
mungkiin,mungkin
akuhh,aku
manteb,mantap
hiduupp,hidup
tebel,tebal
nganggepin,menanggapi
"mentang"",mentang-mentang"
najiss,najis
perjabatt,pejabat
makany,makanya
benneerr,benar
krjaan,pekerjaan
kdng,kadang
kdang,kadang
knan,kanan
anak'y,anaknya
trknal,terkenal
"gtu"",begitu-gitu"
klok,kalo
guw,gue
selaloe,selalu
beruntungnyaa,beruntungnya
soal'y,soalnya
prhatian,perhatian
hebaat,hebat
gehh,gih
ankknyaa,anaknya
centilnyaa,centilnya
gemesshzzhzzhzhzhsjssjs,gemas
ngacaa,mengaca
jirr,anjir
kayaa,kaya
cempreeng,cempreng
centill,centil
pcran,pacaran
anedh,banget
ampyunn,ampun
boro2,boro-boro
nyta,nyata
kampungn,kampungan
j,saja
mnghina,menghina
ngolokin,mengolok
blum,belum
"syirik"",syirik-syirik"
than,tahan
dsr,dasar
siriik,sirik
mampuu,mampu
khan,kan
cemburuu,cemburu
bingitzz,banget
tlog,tolong
apasihh,apasih
sirikk,sirik
dbnding,dibanding
nrka,neraka
s3ndiri,sendiri
bhgiain,membahagiakan
kdua,kedua
prcya,percaya
bhagaia,bahagia
cuco,cocok
genitt,genit
kx,kak
mlikk,milik
"mentah"",mentah-mentah"
canci,cantik
aneed,banget
lainn,lain
pentingg,penting
bagaimanaa,bagaimana
krudung,kerudung
enakk,enak
pool,pol
oprasiya,operasinya
uwee,gue
pilihanny,pilihannya
itumahh,itumah
muu,mu
berbakiti,berbakti
alhamd,alhamdulillah
slmtt,selamat
ucapin,mengucapkan
tetp,tetap
ditengah2,ditengah-tengah
semuannyaa,semuanya
abs,habis
kebnyak'an,kebanyakan
melahirin,melahirkan
cakeep,cakep
bagi2,bagi-bagi
gimn,bagaimana
smogaa,semoga
biza,bisa
aamien,amien
lngsing,langsing
wowooww,wow
smulla,semula
pdhall,padahal
blln,bulan
senang2,senang-senang
jh,saja
gtu2,begitu-gitu
cpet,cepat
gataunya,enggak taunya
gtau,enggak tau
fans2,fan-fan
gaharus,enggak harus
akoh,aku
amaca,ah masa
amuh,kamu
aph,apa
apose,apa
apz,apa
baryaw,sabar ya
baryw,sabar ya
bryaw,sabar ya
bryw,sabar ya
bay,selamat tinggal
besoq,besok
bhay,selamat tinggal
bisya,bisa
bokap,ayah
bkap,ayah
bkp,ayah
bokaps,ayah
bokapz,ayah
bsoq,besok
bte,bosan
bozen,bosan
bozn,bosan
bzn,bosan
bzen,bosan
cabut,pergi
caiank,sayang
cekola,sekolah
cekolah,sekolah
celalaw,selalu
celalu,selalu
cemungudh,semangat
cemungut,semangat
cemunguth,semangat
cibuq,sibuk
ciyus,serius
cll,selalu
cllu,selalu
cllw,selalu
cpe,capek
cpee,capek
dapa,ada apa
dapah,ada apa
dftr,daftar
dimance,dimana
dimandose,dimana
dimans,dimana
duluw,dulu
eteb,bosan
gabut,menganggur
gakz,tidak
gataw,tidak tahu
gengges,ganggu
ghiy,lagi
gi,lagi
gue,saya
hums,rumah
humz,rumah
huum,iya
iyach,iya
iyapz,iya
iyup,iya
iyupz,iya
iz,iya
iza,iya
izza,iya
jamber,jam berapa
kau,kamu
kenapah,kenapa
kenaps,kenapa
kenapz,kenapa
kepo,ingin tahu
keyen,keren
khanz,kan
kuq,kok
kzl,kesal
lam,salam
lo,kamu
lom,belum
low,kalau
lp,lupa
lu,kamu
lum,belum
lun,belum
luthu,lucu
mager,malas bergerak
makaci,terima kasih
miapa,demi apa
miapah,demi apa
misal'a,misalnya
muup,maaf
mu'uv,maaf
nak,anak
naq,anak
nax,anak
ndax,tidak
ngabungin,menggabungkan
ngerokok,merokok
nggax,tidak
nggesek,menggesek
nggosok,menggosok
ngibul,berbohong
nyokap,ibu
nykap,ibu
nykaps,ibu
nykapz,ibu
nykp,ibu
oc,oke
oce,oke
ok,oke
okedech,oke
okedeh,oke
okeh,oke
okz,oke
ouch,oh
ouh,oh
pasutri,pasangan suami istri
paz,pas
pengin,ingin
pzt,pasti
qaqa,kakak
qq,kakak
sabeb,bebas
sabi,bisa
saltum,salah kostum
selaw,santai
selow,santai
shap,siap
shaps,siap
syipp,sip
tau,tahu
tauk,tahu
telp,telepon
thx,terima kasih
tipi,televisi
tq,terima kasih
trimz,terima kasih
udd,sudah
von,telepon
wad,buat
wat,buat
yaw,ya
yoi,iya
yups,ya
yupz,ya
@,di
afaik,as far as i know
ahaha,haha
ajep-ajep,dunia gemerlap
akika,aku
akkoh,aku
akuwh,aku
alay,norak
alow,halo
anjrit,anjing
anter,antar
ap2,apa-apa
apasih,apa sih
apes,sial
aps,apa
aquwh,aku
asbun,asal bunyi
aseekk,asyik
asekk,asyik
asem,asam
aspal,asli tetapi palsu
astul,asal tulis
au ah,tidak mau tahu
awak,saya
ay,sayang
b4,sebelum
bakalan,akan
bandes,bantuan desa
bangedh,banget
banpol,bantuan polisi
banpur,bantuan tempur
basbang,basi
bcanda,bercanda
bdg,bandung
begajulan,nakal
bencong,banci
bentar,sebentar
ber3,bertiga
beresin,membereskan
bete,bosan
bijimane,bagaimana
bintal,bimbingan mental
bkl,akan
bknnya,bukannya
blegug,bodoh
bnci,benci
bodor,lucu
bokis,bohong
boljug,boleh juga
bonek,bocah nekat
boyeh,boleh
bro,saudara laki-laki
bsen,bosan
btw,ngomong-ngomong
buaya,tidak setia
bubbu,tidur
bubu,tidur
bumil,ibu hamil
byrin,bayarkan
cabal,sabar
cadas,keren
calo,makelar
can,belum
capcus,pergi
caper,cari perhatian
ce,cewek
cekal,cegah tangkal
cemen,penakut
cengengesan,tertawa
chuyunk,sayang
cimeng,ganja
cipika cipiki,cium pipi kanan cium pipi kiri
ciyh,sih
ckepp,cakep
cmiiw,correct me if i'm wrong
cong,banci
conlok,cinta lokasi
cowwyy,maaf
cp,siapa
cppe,capek
cuex,cuek
cumi,cuma miscall
cups,culun
curanmor,pencurian kendaraan bermotor
curcol,curahan hati colongan
dek,adik
demen,suka
deyh,deh
diancurin,dihancurkan
dimaafin,dimaafkan
dimintak,diminta
disono,di sana
dket,dekat
dkk,dan kawan-kawan
dll,dan lain-lain
dngn,dengan
dodol,bodoh
doku,uang
dongs,dong
drtd,dari tadi
dst,dan seterusnya
duh,aduh
duren,durian
ed,edisi
egp,emang gue pikirin
eke,aku
endak,tidak
envy,iri
ex,mantan
fax,facsimile
fifo,first in first out
folbek,follow back
fyi,sebagai informasi
gak papa,tidak apa-apa
gan,juragan
gaptek,gagap teknologi
gatek,gagap teknologi
gawe,kerja
gebetan,orang yang disuka
geje,tidak jelas
gepeng,gelandangan dan pengemis
gino,gigi nongol
githu,gitu
gj,tidak jelas
goblok,bodoh
golput,golongan putih
gowes,mengayuh sepeda
gpny,tidak punya
gr,gede rasa
gretongan,gratisan
gua,saya
guoblok,goblok
ha,tertawa
haha,tertawa
hallow,halo
hankam,pertahanan dan keamanan
hehe,he
hey,hai
hlm,halaman
hoax,isu bohong
hubdar,perhubungan darat
huff,mengeluh
hum,rumah
ilfil,tidak suka
imho,in my humble opinion
imoetz,imut
item,hitam
iye,iya
jaim,jaga image
jayus,tidak lucu
jem,jam
jgnkan,jangankan
jir,anjing
jomblo,tidak punya pacar
jubir,juru bicara
jutek,galak
kab,kabupaten
kabor,kabur
kacrut,kacau
kadiv,kepala divisi
kagak,tidak
kalo,kalau
kampret,sialan
kamtibmas,keamanan dan ketertiban masyarakat
kamuwh,kamu
kanwil,kantor wilayah
kasubbag,kepala subbagian
katrok,kampungan
kayanya,kayaknya
kbr,kabar
kdu,harus
kec,kecamatan
kejurnas,kejuaraan nasional
kekeuh,keras kepala
kepengen,mau
kepsek,kepala sekolah
kesbang,kesatuan bangsa
kesra,kesejahteraan rakyat
ketrima,diterima
kgiatan,kegiatan
kibul,bohong
kimpoi,kawin
klianz,kalian
kloter,kelompok terbang
kmps,kampus
knal,kenal
kodya,kota madya
komdis,komisi disiplin
komsov,komunis sovyet
kongkow,kumpul bareng teman-teman
kopdar,kopi darat
korup,korupsi
krenz,keren
ktr,kantor
kuper,kurang pergaulan
lamp,lampiran
lanud,landasan udara
latgab,latihan gabungan
lebay,berlebihan
litbang,penelitian dan pengembangan
lmyn,lumayan
lola,lambat berfikir
louph,cinta
"luber,""langsung, umum, bebas, dan rahasia"""
luchuw,lucu
lwn,lawan
mabal,bolos
macih,masih
maem,makan
magabut,makan gaji buta
mak jang,kaget
mam,makan
maneh,kamu
maniez,manis
melu,ikut
mepet,dekat sekali
mgu,minggu
migas,minyak dan gas bumi
mikol,minuman beralkohol
miras,minuman keras
mngkn,mungkin
mokad,mati
moso,masa
mpe,sampai
mt,makan teman
mubes,musyawarah besar
mulu,melulu
mumpung,selagi
munas,musyawarah nasional
muntaber,muntah dan berak
musti,mesti
muupz,maaf
n,dan
nanam,menanam
napi,narapidana
"napza,""narkotika, alkohol, psikotropika, dan zat adiktif"""
"narkoba,""narkotika, psikotropika, dan obat terlarang"""
nasgor,nasi goreng
ndiri,sendiri
nekolin,neokolonialisme
ngabuburit,menunggu berbuka puasa
ngambil,mengambil
nganggur,tidak punya pekerjaan
ngapah,kenapa
ngaret,terlambat
ngebandel,berbuat bandel
ngegosip,bergosip
ngeklaim,mengklaim
ngeksis,menjadi eksis
ngeles,berkilah
ngelidur,menggigau
ngerampok,merampok
ngiler,mau
ngisiin,mengisikan
ngubek2,mencari-cari
nih,ini
niyh,nih
np,now playing
numpuk,bertumpuk
nyekar,menyekar
nyicil,mencicil
nyoblos,mencoblos
ogah,tidak mau
ol,online
ongkir,ongkos kirim
oot,out of topic
otda,otonomi daerah
"otw,""on the way, sedang di jalan"""
pacal,pacar
pansus,panitia khusus
parpol,partai politik
pelatnas,pemusatan latihan nasional
pemda,pemerintah daerah
pemkot,pemerintah kota
pemred,pemimpin redaksi
penjas,pendidikan jasmani
perda,peraturan daerah
pesenan,pesanan
pgang,pegang
pilkada,pemilihan kepala daerah
pisan,sangat
pmrnth,pemerintah
polantas,polisi lalu lintas
ponpes,pondok pesantren
pp,pulang pergi
prg,pergi
psen,pesan
pswt,pesawat
rakor,rapat koordinasi
ranmor,kendaraan bermotor
re,reply
ref,referensi
rehab,rehabilitasi
repp,balas
restik,reserse narkotika
rhs,rahasia
ru,baru
ruko,rumah toko
rusunawa,rumah susun sewa
ruz,terus
saia,saya
salting,salah tingkah
samsek,sama sekali
sapose,siapa
satpam,satuan pengamanan
sbh,sebuah
se7,setuju
sebelas dua belas,mirip
sembako,sembilan bahan pokok
sendratari,seni drama tari
shg,sehingga
siech,sih
sikon,situasi dan kondisi
sinetron,sinema elektronik
siramin,siramkan
skalian,sekalian
slesai,selesai
slma,selama
slsai,selesai
soljum,sholat jumat
songong,sombong
sory,maaf
sosek,sosial-ekonomi
spa,siapa
sppa,siapa
srtfkt,sertifikat
sumpek,sempit
tajir,kaya
teh,kakak perempuan
telat,terlambat
telmi,telat berpikir
tengil,menyebalkan
tepar,terkapar
tggu,tunggu
tgu,tunggu
thankz,terima kasih
tilang,bukti pelanggaran
tipiwan,tvone
tks,terima kasih
tls,tulis
tmen2,teman-teman
tmpah,tumpah
tngu,tunggu
tnyta,ternyata
tokai,tai
toserba,toko serba ada
trdhulu,terdahulu
trm,terima
ts,penulis
tst,tahu sama tahu
tuir,tua
ul,ulangan
unyu,lucu
uplot,unggah
urang,saya
usah,perlu
valas,valuta asing
w/,dengan
wadir,wakil direktur
wamil,wajib militer
warteg,warung tegal
wtf,what the fuck
xixixi,tertawa
ya,iya
yaudah,ya sudah
yawdah,ya sudah
yl,yang lain
yowes,ya sudah
7an,tujuan
ababil,abg labil
acc,accord
adlah,adalah
adoh,aduh
aha,tertawa
aing,saya
aka,dikenal juga sebagai
akko,aku
akku,aku
akyu,aku
aljasa,asal jadi saja
ambl,ambil
anjir,anjing
aplot,unggah
apva,apa
asap,sesegera mungkin
aseek,asyik
asek,asyik
aseknya,asyiknya
asoy,asyik
astrojim,astagfirullahaladzim
ath,kalau begitu
atuh,kalau begitu
ava,avatar
aws,awas
ayang,sayang
ayok,ayo
bacot,banyak bicara
